"","date","text","month"
"1","2020-03-29","@infomorning Is the NS border closed except to NSians and a few others?

Today @StephenMcNeil said all others still welcome if #SelfQuarantine for 14 days. No wonder Baddeck, Lawrencetown Beach etc are full of tourists. #COVID19","March"
"2","2020-03-29","العالم وين وشركتنا وين 
""هل ترغب في الحصول على 2 جيجابايت ب 2 ريال ، صالح ل 30 يوم 
 للاشتراك اتصل على *373*96#""
والله عيب إقلها عشان الظروف الراهنة ١٠ جي بي صالحه ل ٣٠ يوم 
#Covid_19 
@Omantel 
#Oman
#خلك_في_البيت 
#عمان_تواجه_كرونا","March"
"3","2020-03-29","Auto-TRANSLATED:
Il thriller di Luca Di Nicola, #Italian chef who died in #London: ""Cured for the flu and never a tampon""
https://t.co/lrL6Le36vp

#COVID19 
#Covid19UK 
#Covid19Italy
#Covid19Italia","March"
"4","2020-03-29","#ConferenciaCovid19 |  El 12% de los casos confirmados de #Covid19, es decir, 85 personas, ha requerido hospitalización. El ""estatus"" de los casos hospitalizados es:

Hospitalizados estables: 67%
Hospitalizados graves: 28%
Hospitalizados Intubados: 5% https://t.co/WnffgE8vUe","March"
"5","2020-03-29","Much for us to learn! #Covid_19 #pandemic https://t.co/qv5CyuUupg","March"
"6","2020-03-29","Okay some of these challenges are getting out of hand.... 
“The Turkish moustache challenge???... now that’s just being silly now isn’t it?”
#Coronavirus #Lockdown #ChallengeAccepted #BritishSummertime #UK","March"
"7","2020-03-29","@mckenaaac .. everyone send some love to my best friend and all of the healthcare workers out there putting their life on the line every day. #StayHome #COVID19","March"
"8","2020-03-29","@hganjoo153 I think this was to appreciate the  hard work of  health care workers who are fighting a war against #coronavirus 
I beleive you guys have sufficient grey cells to understand that","March"
"9","2020-03-29","Saumur. Covid-19 : le 2e RD de Fontevraud aide au transfert de malades en Allemagne #Coronavirus #Saumur. A lire ce dimanche dans le ⁦@courrierouest⁩ ⁦@armeedeterre⁩  https://t.co/KGzdP5nmK0 https://t.co/AbNlx89yQv","March"
"10","2020-03-29","#devocional #covid19 Qual foi o seu primeiro pensamento ao acordar esta manhã?

Qual é o primeiro pensamento que vem à sua mente quando você acorda de manhã? Você está animado pelo novo dia pela frente, se… https://t.co/X3J2pwU2cv","March"
